,Company,State,Type of breach,Type of organization,Total Records,Description of incident,Year,Latitude,Longitude
2062,Reid Hospital & Health Care Services,Indiana,PHYS,medical,22001.0,"An unencrypted, password protected laptop computer was stolen from an employee’s home on April 2, 2011.  The covered entity (CE), Reid Hospital & Health Care Services, reported that this breach affected 22,001 individuals and that the laptop contained names, social security numbers, Medicare numbers, and some reports entitled “psychiatric services.”  The CE investigated the breach and provided breach notification to HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE completed encryption of its laptop and desktop computers, implemented safeguards for its email system and smartphones, and updated its mobile media policy.  It also completed a new risk analysis and implemented action steps in its risk management plan.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Laptop
Business associate present: No
",2011,40.760537,-73.97889
2063,Drs Edalji and Komer,Massachusetts,PHYS,medical,563.0,"An unsecured laptop containing the electronic protected health information (ePHI) of approximately 563 individuals was stolen from the car of a business associate's (BA) subcontractor.  The PHI included names, addresses, dates of birth, and social security numbers.  Following the breach, the covered entity (CE) notified affected individuals, HHS, and the media, and offered all affected individuals one year of free credit monitoring services.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.
\
\
Location of breached information: Laptop
Business associate present: No
",2011,40.760537,-73.97889
2064,Allina Hospitals and Clinics,Connecticut,INSD,medical,11.0,"Twenty-eight employees from Unity Hospital and four from Mercy Hospital were fired for snooping.  The employees each accessed patient medical information without authorization.  Eleven teens and young adults were taken to the two hospitals on March 17 after overdosing at a party. Allegations that employees were accessing electronic medical records for no legitimate reason first surfaced in April.UPDATE (6/1/2011): It appears that a total of 32 employees, including 15 nurses, were fired in a single day for snooping.",2011,41.763711,-72.685093
2065,Office of Dr. Jeffry Barnes,Illinois,PHYS,medical,60.0,"A woman found the sensitive information of more than 60 people in a recycling bin. Social Security numbers, prescription information, patient names and medical histories were all easily accessible.  The employee responsible for the incident resigned after the mistake and Dr. Barnes agreed to upgrade his shredding practices.",2011,40.633125,-89.398528
2066,Union Security Insurance Company,Missouri,DISC,medical,850.0,"\N
Location of breached information: Other
Business associate present: No
",2011,40.760537,-73.97889
2067,Huntington National Bank,Illinois,INSD,financial,2000.0,"Several employees of Huntington Bank resigned and took customer information to a competing financial business.  The employees had been downloading and printing confidential customer records from Huntington's secure database for weeks before they departed.  The customer records included customer names, addresses, telephone numbers, Social Security numbers, dates of birth, bank account numbers and additional personal information.  Former employees also took the files of some customers who had filed active mortgage loan applications.  These files would have included customer pay stubs, W-2s, tax returns and other sensitive information.Huntington is suing the ex-employees for theft of trade secrets.  ",2011,41.88142,-87.883117
2068,"MMM Healthcare, Inc.",Puerto Rico,PHYS,medical,32390.0,"Thieves broke into the MMM Healthcare, Inc. facility located in Humacao, Puerto Rico and stole four unencrypted desktop computers containing 32,390 health plan members’ electronic protected health information (ePHI).  The ePHI stored in the stolen computers included  names, addresses, phone numbers, Medicare numbers, diagnosis and treatment information, health plan names, health plan member identification numbers, health plan enrollment information, health care claim information, and social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE repaired a damaged wall and improved physical security for the facility and the surrounding premises. As a result of OCR’s investigation, the CE encrypted all computers located at its regional offices.  OCR obtained assurances that the CE implemented the corrective actions listed above. Additionally, OCR stated its expectation that the CE will perform a thorough and accurate risk analysis and establish a risk management plan.  In addition, OCR stated its expectation that the CE will implement contingency operations procedures, implement its security policies and procedures, and regularly patch and update its IT infrastructure. OCR stated an expectation for the CE to encrypt ePHI where appropriate, and document the technical safeguards implemented to prohibit the unauthorized copying and removal of PHI and ePHI from the premises. 
Location of breached information: Desktop Computer
Business associate present: No
",2011,40.760537,-73.97889
2069,PMC Medicare Choice,Puerto Rico,PHYS,medical,24361.0,"Thieves broke into the PMC Medicare Choice facility located in Humacao, Puerto Rico and stole four unencrypted desktop computers containing 24,361 health plan members’ electronic protected health information (ePHI).  The ePHI included names, addresses, phone numbers, Medicare HIC numbers, diagnosis and treatment information, health plan names, health plan member identification numbers, health plan enrollment information, health care claim information, and social security numbers.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE repaired a damaged wall and improved security at the facility and the surrounding premises.   OCR obtained assurances that the CE implemented the corrective actions noted above.  As a result of OCR’s investigation, the CE encrypted all computers located at its regional offices. OCR stated its expectation that the CE will perform a thorough and accurate risk analysis and establish a risk management plan.  In addition, OCR stated an expectation that the CE will implement contingency operations procedures, implement its facility security plan’s policies and procedures, and regularly patch and update its IT infrastructure.  OCR also stated an expectation that the CE will encrypt and decrypt ePHI where appropriate and document the technical safeguards implemented to prohibit the unauthorized copying and removal of PHI and ePHI.
Location of breached information: Desktop Computer
Business associate present: No
",2011,40.760537,-73.97889
2070,Indiana Regional Medical Center,Pennsylvania,PHYS,medical,1388.0,"\N
Location of breached information: Paper/Films
Business associate present: No
",2011,41.203322,-77.194525
2071,Reid Hospital,Connecticut,STAT,medical,20000.0,A computer was stolen from an employee's home during an early April burglary.  It may have contained information from patients who visited the hospital between 1999 and 2008. Patients covered under Medicaid or Medicare may have had their Social Security numbers as well as unspecified information contained in patient reports.,2011,41.230895,-73.063584
2072,Fox.com,Virginia,HACK,online,363.0,"Hackers accessed the email accounts of 363 Fox.com employees and managed to deface the Linkedin accounts of 16 of them. This same group has attacked multiple Fox related groups such as the Twitter account of Fox15 TV, and the names, phone numbers and email addresses of 73,000 people auditioning for The X-Factor television show on Fox.  A text file of the information from The X-Factor participants was placed on a site called Pirate Bay.  The hacking group calls themselves Lulzsec. Four Lulzsec hackers searched Fox.com's servers for vulnerabilities and attacked on April 19.  Fox.com noticed the breach a week later. Lulzsec claims that it plans to release more hacked information soon.",2011,39.18566,-78.163334
2073,Dunes Family Health Care P.C.,California,PORT,medical,16000.0,"The March 11 theft of an external hard drive used for backing up the Clinic's electronic files may have exposed patient information.  The hard drive was stored in a locked, fire-protected building with very limited access.  Many of the files contained patient Social Security numbers in addition to names, dates of birth, addresses and other clinical information.  There was a delay in notification due to the fact that there were duplicate files and patient contact information had to be updated. The Clinic has begun to encrypt records and raised the physical security of the files since the incident.",2011,38.581572,-121.4944
2074,Michaels Stores Inc.,New York,CARD,social,94000.0,"A number of PIN pads in Chicago-area Michaels stores were found to have been tampered with.  Michaels checked 7,200 PIN pads in 964 US stores.  Fewer than 90 pads were found to have been compromised, but the affected pads were in 20 states. Michaels expects the process of replacing the pads to last about 15 days. The number of affected customers is in the tens of thousands. PIN pads in Canada will also be checked.The Chicago-area was the hardest hit; 14 stores had compromised PIN pads. Customers who used their debit or credit cards at Michaels are encouraged to monitor their transaction records. Michaels Stores released an official statement.UPDATE (05/19/2011): A suit seeks class-action status and more than $5 million in damages for people whose credit and debit accounts were compromised by the breach.  The lawsuit claims that Michaels failed to protect customers from ""cyber-pickpockets"" who stole sensitive banking information from checkout keypads at stores in 20 states. Michaels is accused of knowingly violating federal and state law by failing to take reasonable steps to safeguard customers' personal information.  Michaels is also accused of failing to alert customers as soon as the security breach was discovered. There is now a theory that thieves used a combination of  ""false card readers"", wireless cameras or electronic membranes placed over keypads to collect the PINs and card information of MIchaels' customers. This allowed them to create fraudulent debit and credit cards.UPDATE (05/31/2011): A second lawsuit was filed in late May.  The new suit also seeks class-action status.  It alleges that Michaels failed to safeguard shoppers' credit and debit PINs and other information.  The second lawsuit was filed by an Illinois resident who saw over $1,000 in fraudulent charges after making an $18.16 purchase at Michaels.UPDATE (06/20/2011): An extensive fraud case has hit multiple areas of Oregon.  Over 250 people have reported fraudulent charges related to cards that were used at Michaels stores.UPDATE (06/27/2011): Four suspects were caught making fraudulent debit card transactions on camera.  The images have been distributed by investigators hoping that someone in the Beaverton, Oregon area will recognize one or more of the people.  Additionally, Michaels now faces a total of four lawsuits related to the data breach.UPDATE (07/13/2011): A number of Iowa residents began reporting debit card fraud that could potentially be related to the Michaels breach.UPDATE (03/21/2012): Two men will be sentenced for their roles in setting up phony debit and credit card pads in the 84 Michaels stores.  Each pleaded guilty to one count of conspiracy to commit bank fraud, one count of bank fraud, and one count of aggravated identity theft. A total of 94,000 credit and debit card account numbers were stolen.UPDATE (07/30/2012): The two men were each sentenced to 36 months in prison for conspiracy to commit bank fraud.  An additional 24 months were added for aggravated identity theft.  The must also pay $42,000 in restitution and will have five years of supervised release.",2011,40.714353,-74.005973
2075,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,Florida,PHYS,medical,8000.0,"\N
Location of breached information: Other, Paper/Films
Business associate present: No
",2011,27.664827,-81.515754
2076,CVS CAREMARK,Arizona,PHYS,medical,654.0,"An employee of the covered entity (CE), CVS Caremark, with access to patients’ protected health information (PHI) impermissibly accessed and printed patient drug transfer reports as part of a scheme to fill fraudulent prescriptions.  The prescription drug reports were then disclosed to a third party, the employee’s boyfriend, who was a former employee of another CVS store.  Law enforcement notified the CE about the breach on March 16, 2011 following a raid of the perpetrators’ home, in which law enforcement confiscated paper documents belonging to the CE.  The PHI involved in the breach included the names, addresses, birthdates, prescription numbers, telephone numbers, and prescription names of approximately 654 individuals.  The CE provided breach notification to HHS and affected individuals and also offered free credit monitoring.  In response to this incident, the CE immediately terminated the employee and retrained pharmacy staff on its HIPAA policies.  The CE also provided evidence that both individuals have since had their pharmacy licenses suspended by the state licensing board.  As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed.
Location of breached information: Paper/Films
Business associate present: No
",2011,40.760537,-73.97889
2077,Anthem Blue Cross,California,DISC,financial,31125.0,"Letters soliciting dental and vision coverage were mailed to current Anthem customers.  A priority code composed of the customer's Social Security number and two extra digits was printed on the outside of each envelope.  One customer noticed the error and contacted the media.  Anthem admits that an error occurred, but did not reveal the cause. Anthem is working to prevent this type of breach from happening again and was in the process of notifying customers of the error as of May 12. UPDATE (10/01/2012): Anthem experienced the marketing mailer error on April 27, 2011.  The State of California settled with Anthem in September of 2012. Anthem agreed to pay $150,000 and to make significant improvements to its data security procedures to prevent future errors of a similar type..",2011,34.138456,-118.849985
2078,Massachusetts Executive Office of Labor and Workforce Development  (EOLWD),Pennsylvania,HACK,governmental,210000.0,"A computer virus called W32.QAKBOT infected various computer terminals and individual computers at the Department of Unemployment Assistance, the Department of Career Services, and multiple One Stop Career Centers. The virus first infected the computers and network on April 20.  Though the virus was detected within a short period of time and stopped, it was later discovered that it had not been completely eradicated.  Names, Social Security numbers, email addresses, residential or business addresses, Employer Identification Numbers (EIN) and employer bank information may have been exposed.  Twelve hundred employers who manually filed with the EOLWD may be affected. If a staff member keyed in sensitive claimant information at a work station infected with the virus then that claimant's information may have been exposed.UPDATE (5/18/2011): Approximately 210,000 people were affected by the breach.",2011,40.2737,-76.884418
2079,"Robert B. Miller, MD",California,PHYS,medical,620.0,"\N
Location of breached information: Laptop
Business associate present: No
",2011,40.760537,-73.97889
2080,Eye Care Associates of the San Ramon Valley,Texas,PORT,medical,611.0,A laptop with a lock to prevent theft was stolen from the ophthalmology office on the night of May 8.  It contained eye photos and names of 611 patients. The laptop was not recovered.,2011,29.424122,-98.493628
2081,The Securities and Exchange Commission,Colorado,DISC,governmental,4000.0,"On May 4, a contractor working for the Interior Department's National Business Center accidentally sent an unencrypted email.  There was a security feature in the system software that was designed to prevent such mistakes, but it failed to stop the email from going through.  Any information in the unencrypted email was vulnerable for about 60 seconds.  The email contained agency employee Social Security numbers and other payroll information.  ",2011,39.739154,-104.984703
2082,Imaging Center of Garland,Texas,PHYS,medical,1031.0,"\N
Location of breached information: Other
Business associate present: No
",2011,40.760537,-73.97889
2083,St. Mary's Hospital for Children,New York,PHYS,medical,550.0,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.
Location of breached information: Paper/Films
Business associate present: Yes
",2011,40.760537,-73.97889
2084,LaMar's Donuts,Indiana,HACK,social,50.0,Someone may have hacked into LaMar's credit card processing system and used the information to make fraudulent credit and debit cards.  Other businesses in the Omaha area who use a similar credit card processor may be at risk.,2011,40.486427,-86.133603
2085,Flanigan's,California,INSD,social,85.0,"Four people were sentenced for their roles in an identity theft operation.  Between April 30, 2010 and May 29, 2010 an employee of the restaurant was paid $20 per card to use a skimmer to collect customer credit card numbers.  The stolen credit card information was used to make fraudulent purchases.  The criminals managed to cause between $120,000 and $200,000 in fraudulent charges.",2011,34.048347,-117.261153
2086,TRICARE Management Activity,Colorado,PHYS,medical,4500.0,"Paper records with sensitive information were stolen on June 25, 2010.  The types of information the paper records contained was not revealed.  The breach does not appear to have been disclosed until May of 2011.",2011,39.729432,-104.83192
2087,Methodist Charlton Medical Center,Texas,PORT,medical,1500.0,"The April 16 theft of a laptop resulted in the exposure of patient information. Multiple items were taken during the office burglary.  Patients who were part of Methodist Charlton's palliative care program between June 6, 2006, and September 30, 2010 were affected.  Patient names, ages, sexes, race, marital status, admission and discharge information, hospital account number, physician, insurance company, date of death, chief complaint and type of cancer may have been revealed.  Patient religion may have also been exposed.  It does not appear that any Social Security numbers were attached to hospital account number or insurance company information.  ",2011,32.802955,-96.769923
2088,Office of Dr. Edalji and Dr. Komer,Massachusetts,PORT,medical,563.0,The April 12 theft of a laptop resulted in the exposure of patient PHI.  ,2011,42.331764,-71.121164
2089,Community Action Partnership of Natrona County,Wyoming,UNKN,medical,15000.0,"On February 23, 2011, The Community Action Partnership experienced a breach that involved unauthorized access to the information of 15,000 clients.  The type of information and the cause of the breach are currently not available; however a notice that has since been removed appeared on their website on April 7.  ",2011,42.866632,-106.313081
2090,"Keith & Fisher, DDS, PA",North Carolina,UNKN,medical,6000.0,"On February 16, 2011, an IT incident caused patient information to be exposed.  It is not known if the breach resulted from a hack or an accidental release of information.  The type of patient information exposed was not revealed.",2011,36.072635,-79.791975
2091,"Cahaba Government Benefit Administrators, LLC",Alabama,DISC,medical,13412.0,"\N
Location of breached information: Paper/Films
Business associate present: Yes
",2011,40.760537,-73.97889
2092,Bank of America,New York,INSD,financial,300.0,"An employee leaked customer information to members of an identity theft ring. Customer names, Social Security numbers, driver's license numbers, bank account numbers, PINs, account balances, dates of birth, addresses, and phone numbers were obtained.  More than $10 million was lost.  Bank of America first learned about the breach in 2010; but waited until 95 suspects had been arrested. The group of thieves used the information to modify bank account information and hide the fraudulent accounts they were creating in the names of victims.",2011,40.714353,-74.005973
2093,Agent Benefits Corporation,Michigan,HACK,medical,11387.0,"\N
Location of breached information: Network Server
Business associate present: Yes
",2011,40.760537,-73.97889
2094,VA Caribbean Healthcare System,Puerto Rico,PHYS,medical,6006.0,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.
Location of breached information: Paper/Films
Business associate present: No
",2011,40.760537,-73.97889
2095,Valley National Bank,New York,CARD,financial,348.0,"A man pleaded guilty to conspiracy to commit bank fraud and aggravated identity theft.  He admitted to installing skimmers and cameras on Valley National ATMs in September of 2008. He then used the account and identification information to make fake ATM cards.  The man and his co-conspirators accessed around 348 accounts and defrauded Valley National of $278,144.",2011,40.714353,-74.005973
2096,San Juan Unified School District,California,DISC,educational,4000.0,A human resources employee of San Juan Unified uploaded sensitive employee information onto a flash drive.  Somehow the information was uploaded onto a website when the employee used the flash drive to perform volunteer work at her church.  An employee who Googled their own name discovered that they could also see their Social Security number and other sensitive information.  The information was available for six months.   San Juan Unified decided to ban flash drives as a result of the incident.,2011,38.617127,-121.328284
2097,Spartanburg Regional Healthcare System,South Carolina,PHYS,medical,400000.0,"Three unencrypted desktop computers and one unencrypted laptop computer in need of repair were stolen from an IT employee’s vehicle when he stopped at his home when transporting the equipment from an offsite location to the main hospital.  The home stop was against the CE’s internal policies and procedures and exposed the protected health information (PHI) of 402,647 patients, including names, addresses, dates of birth and social security numbers. The CE provided breach notification to HHS, affected individuals, and the media and also offered affected individuals one year of free credit monitoring. In response to the breach, the CE revised its new employee and upper management orientation materials to reflect updated HIPAA revisions.  The CE encrypted all of the hard drives on its computers. It also updated policies and procedures regarding electronic data and use of company vehicles.  Additionally, the CE began distributing an information security newsletter to employees. The CE sanctioned the involved employee for violating the CE’s handling of computer equipment policy.  OCR obtained assurances that the CE implemented the corrective actions listed above.  
Location of breached information: Desktop Computer
Business associate present: No
",2011,40.760537,-73.97889
2098,Spartanburg Regional Hospital,South Carolina,PORT,medical,400000.0,"The March 28 theft of a laptop resulted in the exposure of patient information.  The laptop was stolen from an employee's car on March 28.  It contained patient names, Social Security numbers, addresses, dates of birth and medical billing codes. Spartanburg Regional has not revealed the number of affected patients.UPDATE (7/03/2011): Spartanburg Regional notified HHS that 400,000 patients were affected.",2011,34.949567,-81.932048
2099,Provena Covenant Medical Center,Illinois,INSD,medical,100.0,"An employee responsible for moving patients around Provena Covenant was sentenced to eight years in federal prison for identity theft.  The former employee accessed patient names, Social Security numbers, dates of birth and other personal information by stealing patient wallets and through other methods.  She also used at least one patient's credit card information to pay for access to victims outside of Provena Covenant.  At least 100 different names were found at the woman's home.  It is not clear if all of those names were related to the former employee's misdeeds at Provena Covenant between 2007 and 2008.",2011,40.110588,-88.20727
2100,Wake Forest Baptist Medical Center,South Carolina,INSD,medical,357.0,"A renter discovered that an employee had taken over 20 boxes of patient information home.  The renter had been asked by the owner not to go into the basement of the home, but wanted to clean after a flood.  He found the boxes, informed Wake Forest and the employee was fired.  The medical records date back at least 10 years.  They contained patient names, phone numbers, Medicaid numbers, medical record numbers, medical histories, diagnoses and medications.  Wake Forest is filing a larceny report.UPDATE (6/4/2011): More boxes have been removed from three additional residential and storage units owned by the employee.  The employee was fired on June 1 and has been cooperating with investigators.  Wake Forest denied that Social Security numbers were found in the former employee's home.  Based on the response of the former employee and other observations, investigators believe that the former employee is a hoarder with no desire to misuse the information.  Only 3-4% of the contents of the boxes were sensitive information.UPDATE (7/14/2011): A total of 136 patients and 221 medical center employees were affected.",2011,36.09986,-80.244216
2101,Saint Joseph - Berea,Kentucky,PHYS,medical,1986.0,"The covered entity (CE), St. Joseph-Berea discovered that an external back-up hard drive attached to a workstation was missing. The external hard drive included the protected health information of 1,986 individuals, including patients’ names, dates of birth and information related to bone density scans.  The CE provided breach notification to HHS, affected individuals, and the media and performed substitute notice by posting on its website.  Following the breach, the CE updated its procedures to limit the use of external hard drives,  encrypted all laptops, desktops, servers, and portable media devices, and improved  safeguards by monitoring physical workstation access and maintaining observation cameras. As a result of OCR’s investigation, OCR obtained assurances that the corrective actions listed above were completed.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",2011,40.760537,-73.97889
2102,Trinity Medical Center (Montclair Baptist Medical Center),Alabama,PHYS,medical,4500.0,"A former employee woman was caught stealing patient information for the purpose of identity theft.  Hundreds of pages of information with patient names, Social Security numbers, dates of birth, and some medical information such as scheduled procedure were found at the employee's woman's residential address. The information is from stolen surgery schedules and was taken between March 22 and April 1. The former employee woman was charged with violating the federal Health Insurance Portability and Accountability Act (HIPAA).UPDATE (2/01/2012): Additional details reveal that the woman was most likely not an employee of Trinity Medical Center and stole the logs of patient information while supposedly visiting a patient. The paper documents were stolen in a flamboyant way as the woman reportedly jumped over a counter to steal the logs.  The files included information from people who had visited in 2006 when Trinity was known as Montclair Baptist Medical Center.  The logs were recovered on April 8 through a USPS investigation.She pleaded guilty to the theft and was sentenced to 39 months in federal prison on February 1, 2012.  She will also serve five years of supervised release after her prison time is served.  ",2011,33.520661,-86.80249
2103,Indiana Regional Medical Center,Pennsylvania,PHYS,medical,500.0,"A former employee stole more than 500 patient records for the purpose of using them as evidence in a legal dispute with a physician.  The theft occurred in September of 2010 and included the medical information of three or four patients, as well as administrative information related to hundreds of other patients.",2011,40.621455,-79.152535
2104,"MMM Healthcare, Inc.",Puerto Rico,STAT,medical,29143.0,The March 8 theft of a computer resulted in the exposure of protected patient information.  ,2011,18.466334,-66.105722
2105,PMC Medicare Choice,Puerto Rico,STAT,medical,22568.0,The March 8 theft of a computer resulted in the exposure of the protected health information of patients.,2011,18.466334,-66.105722
2106,Infragard,Georgia,HACK,online,180.0,"The hacking group known as LulzSec published 180 usernames, hashed passwords, plain text passwords, names and email addresses from the organization.  Infragard is a non-profit that attempts to serve as an interface between the private sector, individuals and the FBI.  LulzSec targeted the organization because of its connection to the FBI.UPDATE (6/24/2011): Infragard Connecticut may have also been breached during June.  Lulz Security (LulzSec) claims to have the information for over 1,000 accounts.",2011,33.748995,-84.387982
2107,Casa Grande Justic Court,Arizona,INSD,governmental,200.0,A court clerk took court documents home in an attempt to hide the fact that she had not done the work.  The employee was fired and could be charged with tampering with public records.  No malicious intent is suspected.  It is believed that the employee hid years of backlogged records and eventually took them home to continue concealing them.,2011,32.879502,-111.757352
2108,"Sony Pictures, Sony Corporation of America",New York,HACK,online,1000000.0,"Hackers called LulzSec obtained over one million Sony customer passwords.  The hackers located data that included passwords, email addresses, phone numbers, home addresses, and dates of birth.  The information was not encrypted and was posted on LulzSec's website.  People wishing to enter online sweepstakes entered their real or fake information.  Anyone who used their Sony Pictures sweepstakes password for another account should immediately change their passwords so that they do not match each other.UPDATE (08/28/2012): A second suspect has been arrested for his alleged role in a computer breach at Sony Pictures Entertainment.  He faces one count of conspiracy and once count of unauthorized impairment of a protected computer. Sony claims that 37,500 of the one million users affected had personal information exposed.UPDATE (04/18/2013): One of the hackers involved in the breach was sentenced to one year in prison.  He was also sentenced to 13 months of home detention and 1,000 hours of community service after release.UPDATE (08/08/2013): The hacker who was sentenced on April 18 was also ordered to pay $605,663 in restitution.",2011,40.714353,-74.005973
2109,University of Mary Washington (UMW),Virginia,DISC,educational,7566.0,"A student discovered student data files on a departmental EagleNet site while searching the EagleNet portal for his own information.  A total of three students accessed the sensitive files and were interviewed.  Student names, Social Security numbers and dates of birth were accessible.  The information was accidentally placed their by a faculty or staff member and reported on May 23.",2011,38.303184,-77.46054
2110,"LexisNexis, Onyx Collections and Locators Services Inc.",Florida,HACK,online,74.0,"Sensitive information was exposed by a breach at Onyx Collections.  Someone connected to Onyx Collections was misusing Onyx Collections' search account to access the personal information of people.  LexisNexis discovered the problem after conducting an audit of Onyx Collections. From September 10, 2009 through March 2, 2011, Onyx Collections had access to names, addresses, dates of birth, driver's license numbers and Social Security numbers of at least 74 people from New Hampshire.  The total number of people affected nationwide has not been revealed.",2011,26.358689,-80.083098
2111,Lower Umpqua Hospital,Oregon,PHYS,medical,17000.0,"\N
Location of breached information: Other, Other Portable Electronic Device
Business associate present: Yes
",2011,43.804133,-120.554201
2112,Navos,Washington,UNKN,medical,2700.0,"\N
Location of breached information: Paper/Films
Business associate present: No
",2011,40.760537,-73.97889
2113,Citibank,New York,HACK,financial,360000.0,"Hackers have managed to access the information of approximately 1% of Citibank's 21 million users. U.S. Customer names, account numbers, and contact information were exposed.  Security codes and dates of birth were not exposed.  The breach occurred sometime in May.  UPDATE (6/13/2011): Citibank released an official statement on the Citigroup website.UPDATE (6/14/2011): It has been revealed that hackers obtained customer names, account numbers and transaction information by logging into the customer credit card site and guessing the account numbers of other customers.  Since the account number appeared in the web address browser bar, simply altering an account number allowed the hackers to access a different account.  The hackers also utilized an automatic computer program to guess account numbers quickly. This incident appears to have occurred in early May.UPDATE (6/14/2011): Connecticut Attorney General George Jepsen asked Citigroup Inc. to provide more information about the data breach.  Jepsen feels that more information about the types of account information exposed, the cause of the breach, the steps taken to notify affected individuals and the steps to prevent future breaches is needed.  He requested the additional information by June 22.UPDATE (6/16/2011): The number of affected individuals has been raised from 210,000 to 360,000.  Further investigation of and information about the breach revealed that the breach was discovered on May 10.  By May 24, Citigroup officials concluded that the data thieves had captured names, account numbers, and email addresses of about 360,000 customer accounts.  Social Security numbers, expiration dates, and three-digit security passwords found on the back of credit cards were not exposed.UPDATE (6/24/2011): At least 3,400 of the customers whose credit card information was stolen have suffered a combined loss of $2,700,000.UPDATE (09/03/2013): Citibank has agreed to pay $15,000 in civil penalties to Connecticut's Privacy Protection Guaranty and Enforcement Account and $40,000 to the General Fund of Connecticut.  Citibank will also hire a third party to conduct an information security audit of the Account Online section of Citibank's website.",2011,40.714353,-74.005973
2114,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Arizona,PHYS,medical,2000.0,"\N
Location of breached information: Paper/Films
Business associate present: No
",2011,40.760537,-73.97889
2115,The VA Caribbean Healthcare System,Puerto Rico,PHYS,medical,1691.0,Veterans and staff had their personal information left unsecured in an open area in the San Juan VA Medical Center. Some of the information included patient care assignment documents with names and Social Security numbers an counseling letters.  It is not clear what type of staff information was exposed.  The information was supposed to have been shredded. The incident occurred sometime before March 30 and VA Caribbean placed a notification on their website on May 20.,2011,18.466334,-66.105722
2116,"FOOTHILLS NEPHROLOGY, PC",South Carolina,PHYS,medical,1280.0,"A company-issued laptop computer containing the protected health information (PHI) of approximately 1,280 individuals was stolen from the vehicle of a covered entity's (CE) employee.  The PHI included demographic and clinical information.  The CE provided breach notification to the affected individuals, HHS, and the media and created a toll-free number for information regarding the incident.  As a result of this incident, the CE contacted law enforcement, retrained staff on the use of portable media, and initiated a risk analysis.  Following the OCR investigation, the CE reviewed and updated its policies and procedures to ensure adequate safeguards, instituted a new electronic medical records system which encrypts medical information, updated password requirements for computers, and retrained employees.
Location of breached information: Other, Other Portable Electronic Device
Business associate present: No
",2011,40.760537,-73.97889
2117,Healthcare Partners,California,STAT,medical,15727.0,"Nineteen computers were stolen during an office burglary on Monday, April 18.  Administrative information such as names, addresses, dates of birth, medical record numbers, and health insurance plan ID numbers were exposed.  Sensitive medical information such as treating physician names, diagnoses, treatment plans, progress notes, prescriptions, referrals, and authorizations were also exposed. A safe with 16 patient checks and 60 patient credit card receipts was also stolen.",2011,33.804167,-118.158056
2118,"Metropolitan Community Health Services, Inc.",North Carolina,UNKN,medical,1263.0,"\N
Location of breached information: Email
Business associate present: No
",2011,35.759573,-79.0193
2119,Murphy USA,Virginia,UNKN,social,42.0,At least 42 people who used their debit or credit cards at the same Murphy USA gas station have reported fraudulent charges to their financial accounts.  A local credit union claims that hundreds of people were affected.  Reports of fraudulent charges began in late May.  An investigation of the card reading devices at the gas station did not reveal any evidence that a skimmer had been used.  Thieves are using the financial information of victims to make fraudulent ATM withdrawals in California.,2011,36.728205,-76.583562
2120,Lafrance Hospitality Corporation,Massachusetts,HACK,online,100.0,Around 100 customers have reported fraudulent charges to their financial accounts.  Investigators believe that Lafrance's credit and debit system was breached electronically in early February 2011. Lafrance Hospitality consists of many businesses.  Anyone who has used a debit or credit card at White's of Westport or Bittersweet Farm since February could be at risk.  Lafrance updated its security after the incident.,2011,41.637115,-71.050308
2121,Fidelity National Technology Imaging (FNTI),California,PHYS,medical,1192.0,"\N
Location of breached information: Paper/Films
Business associate present: Yes
",2011,40.760537,-73.97889
