,entity,records lost,year,story,sector,method,data sensitivity,records adjusted
150,Vårdguiden,2700000.0,2019,"Feb 2019. 170,000 hours of sensitive calls were stored on an open web server with no encryption or authentication. The breach was blamed on a subcontractor called Medicall, who completely denied that it happened.",healthcare,poor security,5,2.7
151,UCLA Health,4500000.0,2015,"May 2015. Officials said the cyberattack was confirmed to have impacted those systems with patient information, including names, dates of birth, Social Security numbers, Medicaid or health plan identification numbers, and some medical data. In 2019, UCLA Health reached a $2million class-action lawsuit settlement with the 4.5 million current and former patients.",healthcare,hacked,4,4.5
152,US Dept of Vet Affairs,26500000.0,2006,Jul 2006. The Veterans Affairs Department agreed to pay $20 million to settle a class action lawsuit over the loss of a laptop. The department originally took three weeks to report the theft. The laptop was recovered with the data apparently intact a month after it was reported stolen. But it is impossible to say with absolute certainty that the data was not accessed and copied.,government,lost device,2,26.5
153,Driving Standards Agency,3000000.0,2007,"Dec 2007. Hard disk with details of candidates for the driving theory test was lost in a premises in Iowa by subcontractors. Only names, addresses and phone numbers. ",government,lost device,2,3.0
154,City and Hackney Teaching Primary Care Trust,160000.0,2007,Dec 2007. Heavily encrypted disks containing details of children are lost by couriers.,government,lost device,2,0.16
155,UK Revenue & Customs,25000000.0,2007,Nov 2007. A set of discs containing confidential details of 25 million child benefit recipients was lost.,government,lost device,1,25.0
156,UK Home Office,84000.0,2008,"Aug 2008. PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders.",government,lost device,2,0.084
157,Chile Ministry Of Education,6000000.0,2008,May 2008. A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of their security.,government,hacked,1,6.0
158,Jefferson County,1600000.0,2008,"Nov 2008. ""Jefferson County Clerk Jennifer Maghan said she unveiled a new online search tool that enabled residents and business professionals to access nearly 1.6 million documents that are stored in her office via their home computers""",government,oops!,2,1.6
159,Texas Lottery,89000.0,2008,"Nov 2008. Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts )were taken from the agency without permission by a former computer analyst who copied the password-free data. The employee added he wanted the information ""for possible future reference as a programmer at other state agencies.""",government,inside job,2,0.089
160,UK Ministry of Defence,1700000.0,2008,"Oct 2008. Hard drive containing very sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. Loss was revealed during National Identity Fraud Prevention Week. ",government,lost device,5,1.7
161,Norwegian Tax Authorities,3950000.0,2008,"Sep 2008. ""Tax authorities said they had accidentally sent CD-ROMs filled with the 2006 tax returns of nearly four million people living in Norway, a country of 
just 4.6 million inhabitants, to the editorial staff at national 
newspapers, radios and television stations.""",government,oops!,2,3.95
162,Service Personnel and Veterans Agency (UK),50500.0,2008,Sep 2008. Stolen USBs containing personal information about private lives of staff.,government,lost device,2,0.0505
163,Embassy Cables,251000.0,2010,"Nov 2010. ""Hillary Clinton and several thousand diplomats around the world are going to have a heart attack when they wake up one morning and find an entire repository of classified foreign policy is available, in searchable format, to the public ... Everywhere there's a US post, there's a diplomatic scandal that will be revealed ... It's beautiful, and horrifying"" - So wrote Bradley Manning, the 22-year-old former intelligence analyst, suspected of being behind the leak of more than 250,000 dispatches from US embassies around the world.",government,inside job,5,0.251
164,Classified Iraq War documents,392000.0,2010,"Oct 2010. In the biggest document dump in Wikileaks' short history and possibly the biggest breach of classified data ever, the whistle-blower organization has posted 391,832 classified Iraq War documents on its website.",government,inside job,2,0.392
165,State of Texas,3500000.0,2011,"Apr 2011. 3.5 million records were accidentally published online including people's names, mailing addresses, social security numbers, and in some cases dates of birth and driver's license numbers.",government,oops!,2,3.5
166,US Law Enforcement,123461.0,2011,"Aug 2011. ""AntiSec"" hackers published 2,719 social security numbers, 8,214 passwords, 15,798 birth dates, 48,182 street addresses, 1,531,628 email addresses, 106,691 phone numbers, 57 bank account numbers, 53 driver's license numbers, and eight credit card numbers of more than 70 different U.S. law enforcement agencies.",government,hacked,3,0.123461
167,San Francisco Public Utilities Commission,180000.0,2011,Jun 2011. An unsecured server that was storing customer data also had some viruses on it. It's unclear how the server got infected,government,hacked,1,0.18
168,Massachusetts Government,210000.0,2011,"May 2011. Over 1,500 departmental computers were infected with the W32.QAKBOT virus, a malicious program which “downloads additional files, steals information, and opens a back door on the compromised computer”. ",government,hacked,5,0.21
169,Oregon Department of Motor Vehicles,1000000.0,2011,"May 2011. Sheriff's detectives arrested Tim Nuss for accessing an old Oregon Department of Motor Vehicles database. The DMV database was once sold to marketing companies, but the department stopped selling the information in the late 1990s. The sold data include the names, addresses, birth dates, gender and ages of people who registered with the DMV, but no financial information.  ",government,hacked,2,1.0
170,California Department of Child Support Services,800000.0,2012,Apr 2012. California child support records were lost in transit during a disaster preparedness exercise.,government,lost device,2,0.8
171,Office of the Texas Attorney General,6500000.0,2012,Apr 2012. The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to millions of Social Security numbers in a case against the state’s voter ID law,government,oops!,2,6.5
172,Greek government,9000000.0,2012,"Nov 2012. A computer programmer was arrested in Greece for allegedly stealing the identity information of what could amount to 83% of the country's population. The 35-year-old was found in possession of 9 million data files containing identification card data, addresses, tax ID numbers and licence plate numbers, which he was also suspected of trying to sell.",government,hacked,2,9.0
173,South Carolina State Dept. of Revenue,3600000.0,2012,Oct 2012. A server was breached by an international hacker.,government,hacked,1,3.6
174,Kissinger Cables,1700000.0,2013,"Apr 2013. More than 1.7 million US diplomatic records for the period 1973 to 1976, including intelligence reports and congressional correspondence.",government,inside job,3,1.7
175,Florida Department of Juvenile Justice,100000.0,2013,"Jan 2013. Memorial Healthcare System, Hollywood, Fla., is notifying nearly 9,500 patients of an investigation into two former employees who inappropriately accessed patient information. The workers, whose employment was terminated, may have sought to process false tax returns using the information.",government,lost device,2,0.1
176,National Security Agency,1500000.0,2013,"Jun 2013. Snowden downloaded up to 1.5 million files, then flew to Hong Kong to meet journalists Glenn Greenwald and Laura Poitras before fleeing to Moscow. ",government,inside job,5,1.5
177,Washington State court system,160000.0,2013,"May 2013. Up to 160,000 Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting old versions of Adobe Cold Fusion software on the server. ",government,hacked,2,0.16
178,Privatization Agency of the Republic of Serbia,5190396.0,2014,Dec 2014. A text file with personal data and financial documents were made publically available on their website.,government,oops!,2,5.190396
179,US Office of Personnel Management (2nd Breach),21500000.0,2015,"Jul 2015. Attackers have targeted the forms submitted by intelligence and military personnel for security clearances. The document includes personal information - everything from eye colour, to financial history, to past substance abuse, as well as contact details for the individual's friends and relatives",government,hacked,5,21.5
180,US Office of Personnel Management,4000000.0,2015,"Jun 2015. ""The intruders... gained access to...employees’ Social Security numbers, job assignments, performance ratings and training information""",government,hacked,2,4.0
181,Australian Immigration Department,500000.0,2015,"Mar 2015. An employee of the agency inadvertently sent the passport numbers, visa details and other personal identifiers of all world leaders attending the G20 Brisbane summit to the organisers of the Asian Cup football tournament. Barack Obama, Vladimir Putin, Angela Merkel, Xi Jinping, Narendra Modi, David Cameron and many others.",government,oops!,4,0.5
182,IRS,100000.0,2015,"May 2015. ""An unnamed cybermafia used an IRS app to download forms full of personal information. They posed as legitimate taxpayers, and tried to download forms on 200,000 people between February and May. They got away with half of them, the IRS said. The crooks used about 15,000 of them to claim tax refunds in other people's names.""",government,hacked,1,0.1
183,Philippines’ Commission on Elections,55000000.0,2016,"Apr 2016. After a message was posted on the COMELEC website by hackers from Anonymous, warning the government not to mess with the elections, the entire database was stolen and posted online. ",government,hacked,5,55.0
184,Syrian government,274477.0,2016,"Apr 2016. Hacking outfit calling itself 'Cyber Justice Team' leaked 10GB of data from the government and private websites. Seems to be just data from old leaks, though.",government,hacked,1,0.274477
185,Turkish citizenship database,49611709.0,2016,Apr 2016. Turkish citizenship database has allegedly been hacked and leaked online.,government,hacked,2,49.611709
186,Clinton campaign,5000000.0,2016,Jul 2016. The computer network used by Democratic presidential candidate Hillary Clinton's campaign was hacked as part of a broad cyber attack on Democratic political organizations,government,hacked,2,5.0
187,Swedish Transport Agency,3000000.0,2017,"Jul 2017. Information about all vehicles in the country (including military and police), made available to IT workers who hadn't been through usual security checks. The question of whether or not Sweden's national security was harmed is censored in the Säpo (Sweden's security police) report.",government,poor security,5,3.0
188,Hong Kong Registration & Electoral Office,3700000.0,2017,"Mar 2017. ""the personal information of the city’s 3.7 million voters was possibly compromised after the Registration and Electoral Office reported two laptop computers went missing at its backup venue for the chief executive election.""",government,lost device,2,3.7
189,Aadhaar,1000000000.0,2018,"Jan 2018. The personal information of more than a billion Indians stored in the world’s largest biometric database can be bought online for less than £6, according to an investigation by an Indian newspaper. The reporter who broke the story has been named in a criminal complaint filed by government agency responsible for the data. ",government,oops!,3,1000.0
190,Aadhaar,1100000000.0,2018,Mar 2018. A security researcher discovered a system vulnerability which means that anybody could download private info on all Aadhaar users. The govt. department that deals with the database has denied the breach.,government,poor security,4,1100.0
191,US Customs and Border Protection,100000.0,2019,"June 2019. Photos of travellers' faces and license plates were compromised as part of an a ""malicious cyberattack"" on a federal subcontractor.",government,hacked,2,0.1
192,Bulgarian National Revenue Agency,5000000.0,2019,Jul 2019. A hacker stole the personal details of millions of Bulgarians and emailed download links to the stolen data to local news publications.,government,hacked,2,5.0
193,Ameritrade Inc.,200000.0,2005,Apr 2005. Computer backup tape containing personal information was lost.,financial,lost device,2,0.2
194,Citigroup,3900000.0,2005,Jun 2005. Blame the messenger! A box of computer tapes containing information on 3.9 million customers was lost by United Parcel Service (UPS) while in transit to a credit reporting agency.,financial,lost device,3,3.9
195,Cardsystems Solutions Inc.,40000000.0,2005,"Jun 2005. CardSystems was fingered by MasterCard after it spotted fraud on credit card accounts and found a common thread, tracing it back to CardSystems.  An unauthorized entity put a specific code into CardSystems' network, enabling the person or group to gain access to the data. It's not clear how many of the 40 million accounts were actually stolen. ",financial,hacked,3,40.0
196,Automatic Data Processing,125000.0,2006,"Jul 2006. Automatic Data Processing, one of the world's largest payroll service companies, confirmed that it was swindled by a data thief looking for information on hundreds of thousands of American investors.",financial,poor security,2,0.125
197,Fidelity National Information Services,8500000.0,2007,"Jul 2007. Employee sold customer information to a data broker, including names, addresses, birth dates, bank account and credit card information.",financial,inside job,3,8.5
198,JP Morgan Chase,2600000.0,2007,May 2007. The personal information of approximately 2.6 million current and former holders of a Chase-Circuit City credit card had been mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.,financial,lost device,3,2.6
199,TD Ameritrade,6300000.0,2007,Sep 2007. TD Ameritrade settled a class action lawsuit to compensate as many as 6.3 million TD Ameritrade customers whose data was stolen by hackers costing the Nebraska online brokerage firm less than $2 per victim.,financial,hacked,1,6.3
200,Compass Bank,1000000.0,2008,"Mar 2008. A former employee stole a hardrive containing 1m account details from the bank between May & July 2007, then used it to defraud cutomers of nearly $32,000.",financial,inside job,3,1.0
201,BNY Mellon Shareowner Services,12500000.0,2008,"May 2008. A back-up tape, containing over 12 million customers records were lost.",financial,lost device,1,12.5
202,Countrywide Financial Corp,2500000.0,2008,Aug 2008. A former employee was sentenced Tuesday to eight months in prison & ordered to repay $1.2 million after pleading guilty to downloading millions of borrower files on thumb drives & selling the information to other loan officers,financial,inside job,2,2.5
203,Countrywide Financial Corp,2600000.0,2008,"Aug 2008. Rene Rebollo, a former senior financial analyst at Countrywide, stole & sold customer data over a 2 year period.",financial,inside job,3,2.6
204,RBS Worldpay,1500000.0,2008,"Dec 2008. The hack primarily effected U.S. prepaid and the gift card issuing business of RBS Worldpay. Actual fraud has been committed on approximately 100 cards.  Certain personal information of approximately 1.5 million cardholders and other individuals may have been affected and, of this group, Social Security numbers of 1.1 million people may have been accessed.",financial,hacked,5,1.5
205,Heartland,130000000.0,2009,"Jan 2009. The biggest credit card scam in history, Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims related to the breach. A hacker was sentenced to 20 years in prison for his role in this & other cases.",financial,hacked,3,130.0
206,CheckFree Corporation,5000000.0,2009,Jan 2009. Customers who went to CheckFree's Web sites between 12:35 a.m. and 10:10 a.m. on the day of the attack were redirected to a Ukrainian Web server that used malicious software to try and install a password-stealing program on the victim's computer.,financial,hacked,1,5.0
207,Educational Credit Management Corp,3300000.0,2010,"Mar 2010. A contractor for the US Department of Education stole the records of 3.3 million people. Data included names, addresses, Social Security numbers and dates of birth of borrowers, but no financial or bank account information.",financial,lost device,2,3.3
208,US Federal Reserve Bank of Cleveland,400000.0,2010,"Nov 2010. A Malaysian man has been charged with hacking into major U.S. corporations, including the U.S. Federal Reserve Bank of Cleveland and FedComp after U.S. Secret Service investigators found more than ""400,000 stolen credit and debit card account numbers allegedly obtained by hacking into various computer systems of other financial institutions""",financial,hacked,3,0.4
209,Morgan Stanley Smith Barney,34000.0,2011,Jul 2011. Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing.,financial,lost device,3,0.034
210,Citigroup,360083.0,2011,"Jun 2011. Less than 1% of Citbank card holders' names, account numbers, and contact information such as e-mail addresses were stolen. Card security codes were not stolen. ",financial,hacked,3,0.360083
211,Global Payments,7000000.0,2012,Apr 2012. 1.5 million credit card numbers from its systems may have been exposed after detecting “unauthorized access” into its processing system.,financial,hacked,3,7.0
212,Three Iranian banks,3000000.0,2012,"Apr 2012. After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",financial,hacked,5,3.0
213,Massive American business hack,160000000.0,2013,"Jul 2013. From 2005 to 2012, a hacking ring targeted banks, payment processors and chain stores, to steal more than 160 million credit and debit card numbers, targeting more than 800,000 bank accounts ",financial,hacked,5,160.0
214,Citigroup,150000.0,2013,"Jul 2013. Third big data breach from Citigroup.""The personal information of 150,000 consumers who went into bankruptcy between 2007 and 2011 – including their social security numbers – were exposed after Citi failed to properly redact court records before they were put on the Public Access to Court Electronic Records (PACER) system.""",financial,oops!,2,0.15
215,NASDAQ,500000.0,2013,"Jul 2013. Nasdaq forum website hacked by hacking ring, email addresses and passwords compromised",financial,hacked,1,0.5
216,Court Ventures,200000000.0,2013,"Oct 2013. A lawsuit against the Vietnamese identity theft service contends that the theft of up to 3 million records began in 2010 and was orchestrated by a then-teenager in Vietnam, Hieu Minh Ngo. Ngo, posing as private investigator based in Singapore, gained access to a database of consumer information. He has since been sentenced to 13 years in prison. ",financial,inside job,2,200.0
217,European Central Bank,4000000.0,2014,"Jul 2014. The ECB received an anonymous call requesting money in return for the stolen data. The bank didn't say how much the blackmailer asked for, but did say that it refused to pay anything.",financial,hacked,1,4.0
218,JP Morgan Chase,76000000.0,2014,"Oct 2014. The US's largest bank was compromised by hackers, stealing names, addresses, phone numbers and emails of account holders. The hack began in June but was not discovered until July, when the hackers had already obtained the highest level of administrative privilege to dozens of the bank’s computer servers.",financial,hacked,3,76.0
219,HSBC Turkey,2700000.0,2014,"Nov 2014. ""In a message to customers on its website, the bank said an attack on its credit card and debit card systems in Turkey had been thwarted but card numbers, account numbers, card expiry dates and customer names had been “compromised”.""",financial,hacked,4,2.7
220,Korea Credit Bureau,20000000.0,2014,Jan 2014. An employee from personal credit ratings firm Korea Credit Bureau (KCB) has been arrested and accused of stealing the data from customers of three credit card firms while working for them as a temporary consultant.,financial,inside job,5,20.0
221,Invest Bank,40000.0,2015,"Dec 2015. Hacker breached a United Arab Emirates bank, demanding a ransom of $3m in bitcoin to stop tweeting data, mostly about corporate accounts. The hacker dumped files on the website of a basketball team, which he hacked for storage. The bank, Invest Bank, won't pay the ransom.  ",financial,hacked,4,0.04
222,Wonga,270000.0,2017,Apr 2017. Customers from the UK and Poland look to have been affected.,financial,hacked,4,0.27
223,TIO Networks,1600000.0,2017,Dec 2017. The company has not revealed what type of information was stolen.,financial,hacked,4,1.6
224,Equifax,143000000.0,2017,"Sep 2017. If you have a credit report, there’s a good chance that you’re one of the 143 million American consumers whose sensitive personal information was exposed in a data breach at Equifax, one of the nation’s three major credit reporting agencies.",financial,hacked,4,143.0
225,Click2Gov,300000.0,2018,"Dec 2018. Vulnerabilities in Click2Gov, a type of government payment software, allowed hackers to access financial records from local government payment networks in 46 US cities.",financial,hacked,3,0.3
226,GovPayNow.com,14000000.0,2018,"Sep 2018. A company used by thousands of US state and local governments to accept online payments leaked more than 14m customer records dating back at least six years, including names, addresses, phone numbers and the last four digits of the payer’s credit card.",financial,poor security,2,14.0
227,Desjardins Group,2900000.0,2019,"June 2019. An employee of financial services federation Desjardins Group leaked personal details of more than 2.9 million people and 173,000 businesses.",financial,inside job,2,2.9
228,First American Financial Corporation,885000000.0,2019,"May 2019. A provider of real estate title insurance leaked insurance deal documents going back to 2003. including bank account numbers and statements, mortgage and tax records, Social Security numbers, wire transaction receipts, and drivers license images.",financial,poor security,4,885.0
229,Coinmama,450000.0,2019,"Feb 2019. Coinmama was part of the theft of 127 million records from eight websites, by the same hacker who previously stole 617 million online account details from 16 other sites. All were put up for sale on the dark web.",financial,hacked,1,0.45
230,Capital One,100000000.0,2019,Jul 2019. A former Amazon employee was arrested in relation to the hack. A lawsuit has been filed against Capital One and GitHub for negligence.,financial,hacked,3,100.0
